f2c13df1fb6f;07/08/2022;0;01/01/1970;1
4d0a2f1de6e6;14/09/2022;0;01/01/1970;2
8b747010975d;15/09/2022;0;01/01/1970;2
ff15e1b9a619;09/08/2022;0;01/01/1970;1
89f6738e289d;20/09/2022;0;01/01/1970;2
7d1c01393da5;22/09/2022;0;01/01/1970;2
21986864788e;12/08/2022;0;01/01/1970;1
03ee52098125;25/09/2022;0;01/01/1970;2
5b9dd2712359;27/09/2022;0;01/01/1970;2
16e36cb734ac;01/10/2022;0;01/01/1970;2
4a2f216d6779;02/10/2022;0;01/01/1970;2
ad1a2c07aa0c;03/10/2022;0;01/01/1970;2
327f212e88ce;08/10/2022;0;01/01/1970;2
afaa9c155ba1;14/08/2022;0;01/01/1970;1
cf7df40ddeae;13/10/2022;0;01/01/1970;2
3629c408afc7;16/10/2022;0;01/01/1970;2
eca730cb620d;21/10/2022;0;01/01/1970;2
df8447f4d50d;16/08/2022;0;01/01/1970;1
5fb3b298462a;22/10/2022;0;01/01/1970;2
98fcd9dd1c91;17/08/2022;0;01/01/1970;1
9178c2f6c6a8;23/10/2022;0;01/01/1970;2
607458e2d9a9;20/08/2022;0;01/01/1970;1
9e6fae0fbecf;23/08/2022;0;01/01/1970;1
79718fc5df91;24/10/2022;0;01/01/1970;2
e43f4568955e;24/08/2022;0;01/01/1970;1
b7238de253db;29/10/2022;0;01/01/1970;2
4bd975930379;03/11/2022;0;01/01/1970;2
2dc3c1cf658e;24/08/2022;0;01/01/1970;1
9ae0df9b867b;27/08/2022;0;01/01/1970;1
3011de018cd3;08/11/2022;0;01/01/1970;2
e68f9782ea4a;13/11/2022;0;01/01/1970;2
5cd3423fa75b;28/08/2022;0;01/01/1970;1
09d77ce2ecdb;28/08/2022;0;01/01/1970;1
c5de02aaf1ff;29/08/2022;0;01/01/1970;1
b2fa88cd37ce;31/08/2022;0;01/01/1970;1
892f3edb66e2;02/09/2022;0;01/01/1970;1
06df1d06460a;05/09/2022;0;01/01/1970;1
3fad86d67ce9;08/09/2022;0;01/01/1970;1
0374d6588e45;10/09/2022;0;01/01/1970;1
248d6d199d23;10/09/2022;0;01/01/1970;1
630b7601e5b9;11/09/2022;0;01/01/1970;1
25b5e9e1ab45;14/09/2022;0;01/01/1970;1
8ca41edff496;14/09/2022;0;01/01/1970;1
e150054e3b33;18/11/2022;0;01/01/1970;2
