9b8e765e8e87;10/10/2022;0;01/01/1970;1
868db5649c38;12/10/2022;0;01/01/1970;1
f948918fdd3c;14/10/2022;0;01/01/1970;1
2cbed629e77f;30/11/2022;0;01/01/1970;2
cebea5a549c7;30/11/2022;0;01/01/1970;2
ec86d89d5757;02/12/2022;0;01/01/1970;2
f122e22770a3;16/10/2022;0;01/01/1970;1
6c65b2784dd3;17/10/2022;0;01/01/1970;1
e319f5ad713c;02/12/2022;0;01/01/1970;2
e1ff064a6cdf;19/10/2022;0;01/01/1970;1
663101abaef1;20/10/2022;0;01/01/1970;1
81e3f7883e43;22/10/2022;0;01/01/1970;1
a4094884081f;04/12/2022;0;01/01/1970;2
2ce9118e0efd;08/12/2022;0;01/01/1970;2
3561682d061f;11/12/2022;0;01/01/1970;2
093e0c790210;15/12/2022;0;01/01/1970;2
fadee48396b6;19/12/2022;0;01/01/1970;2
4df84ca994c1;22/10/2022;0;01/01/1970;1
637a11b6fbb7;22/10/2022;0;01/01/1970;1
f5a57ae514eb;22/12/2022;0;01/01/1970;2
cfba3eeb72c0;25/12/2022;0;01/01/1970;2
5464be83a4b4;30/12/2022;0;01/01/1970;2
17da6df802ce;31/12/2022;0;01/01/1970;2
050ae080867e;02/01/2023;0;01/01/1970;2
206e494e6a74;05/01/2023;0;01/01/1970;2
cbc356da84ab;24/10/2022;0;01/01/1970;1
